,,,,,,Play,Perf,Perf,Perf,Perf
272,Michael Kightly\Michael-Kightly,eng ENG,MF,Burnley,30,5,0,0,0,0
273,Andy King\Andy-King,wal WAL,MF,Leicester City,27,23,1,0,4,0
274,Joshua King\Joshua-King,no NOR,MFFW,Bournemouth,24,36,16,2,1,0
275,Stephen Kingsley\Stephen-Kingsley,sco SCO,DF,Swansea City,22,13,0,1,0,0
276,Jan Kirchhoff\Jan-Kirchhoff,de GER,MF,Sunderland,25,7,0,0,1,0
277,Ragnar Klavan\Ragnar-Klavan,ee EST,DF,Liverpool,30,20,0,0,3,0
278,Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,Manchester City,30,29,1,2,6,0
279,Vincent Kompany\Vincent-Kompany,be BEL,DF,Manchester City,30,11,3,0,5,0
280,Arouna Koné\Arouna-Kone,ci CIV,FW,Everton,32,5,0,0,0,0
281,Lamine Koné\Lamine-Kone,ci CIV,DF,Sunderland,27,30,1,0,4,0
282,Laurent Koscielny\Laurent-Koscielny,fr FRA,DF,Arsenal,30,33,2,0,4,1
283,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,MFDF,West Ham,26,31,1,0,3,0
284,Bojan Krkić\Bojan-Krkic,es ESP,MFFW,Stoke City,25,9,3,0,1,0
285,Adam Lallana\Adam-Lallana,eng ENG,MFFW,Liverpool,28,31,8,6,3,0
286,Rickie Lambert\Rickie-Lambert,eng ENG,FW,West Brom,34,1,0,0,0,0
287,Érik Lamela\Erik-Lamela,ar ARG,MF,Tottenham,24,9,1,3,1,0
288,Manuel Lanzini\Manuel-Lanzini,ar ARG,MF,West Ham,23,35,8,2,9,0
289,Seb Larsson\Seb-Larsson,se SWE,MF,Sunderland,31,21,0,1,4,1
290,Grant Leadbitter\Grant-Leadbitter,eng ENG,MF,Middlesbrough,30,13,1,0,1,0
291,Joe Ledley\Joe-Ledley,wal WAL,MF,Crystal Palace,29,18,1,1,1,0
292,Lucas Leiva\Lucas-Leiva,br BRA,MFDF,Liverpool,29,24,0,2,4,0
293,Jonathan Leko\Jonathan-Leko,eng ENG,FWMF,West Brom,17,9,0,1,0,0
294,Aaron Lennon\Aaron-Lennon,eng ENG,MFFW,Everton,29,11,0,1,0,0
295,Jeremain Lens\Jeremain-Lens,nl NED,FWMF,Sunderland,28,2,0,0,0,0
296,Joleon Lescott\Joleon-Lescott,eng ENG,DF,Sunderland,33,2,0,0,0,0
297,Filip Lesniak\Filip-Lesniak,sk SVK,MF,Tottenham,20,1,0,0,0,0
298,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,23,25,1,1,3,0
299,Jake Livermore\Jake-Livermore,eng ENG,MF,West Brom,26,16,0,0,2,0
300,Jake Livermore\Jake-Livermore,eng ENG,MFDF,Hull City,26,21,1,0,3,1
301,Fernando Llorente\Fernando-Llorente,es ESP,FW,Swansea City,31,33,15,1,2,0
302,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,29,34,0,0,0,0
303,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MF,Chelsea,20,6,0,0,0,0
304,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,25,3,0,0,0,0
305,Shane Long\Shane-Long,ie IRL,FW,Southampton,29,32,3,2,2,0
306,Ademola Lookman\Ademola-Lookman,eng ENG,FW,Everton,18,8,1,0,0,0
307,Donald Love\Donald-Love,sco SCO,DF,Sunderland,21,12,0,1,1,0
308,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,27,29,2,1,6,0
309,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,27,36,0,2,9,0
310,David Luiz\David-Luiz,br BRA,DF,Chelsea,29,33,1,0,6,0
311,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Everton,23,37,25,6,3,0
312,Harry Maguire\Harry-Maguire,eng ENG,DF,Hull City,23,29,2,1,5,0
313,Riyad Mahrez\Riyad-Mahrez,dz ALG,MF,Leicester City,25,36,6,4,4,0
314,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DFFW,Arsenal,18,1,0,0,0,0
315,Shaun Maloney\Shaun-Maloney,sco SCO,MF,Hull City,33,9,1,2,0,0
316,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Crystal Palace,31,9,0,0,0,0
317,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,24,27,13,5,4,0
318,Vito Mannone\Vito-Mannone,it ITA,GK,Sunderland,28,9,0,0,0,0
319,Javier Manquillo\Javier-Manquillo,es ESP,DFMF,Sunderland,22,20,1,0,2,0
320,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,29,7,0,0,0,0
321,Lazar Marković\Lazar-Markovic,rs SRB,MF,Hull City,22,12,2,0,4,0
322,Dean Marney\Dean-Marney,eng ENG,MF,Burnley,32,21,1,2,7,0
323,David Marshall\David-Marshall,sco SCO,GK,Hull City,31,16,0,0,0,0
324,Anthony Martial\Anthony-Martial,fr FRA,MFFW,Manchester Utd,20,25,4,5,2,0
325,Cuco Martina\Cuco-Martina,cw CUW,DF,Southampton,26,9,0,0,0,0
326,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Arsenal,23,2,0,0,0,0
327,Bruno Martins Indi\Bruno-Martins-Indi,nl NED,DF,Stoke City,24,35,1,0,4,0
328,Brandon Mason\Brandon-Mason,eng ENG,DF,Watford,18,2,0,0,0,0
329,Ryan Mason\Ryan-Mason,eng ENG,MF,Hull City,25,16,1,1,4,0
330,Arthur Masuaku\Arthur-Masuaku,cd COD,DFMF,West Ham,22,13,0,1,1,0
331,Juan Mata\Juan-Mata,es ESP,MFFW,Manchester Utd,28,25,6,3,3,0
332,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Chelsea,27,35,1,7,4,0
333,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,24,29,1,0,3,0
334,Alfie Mawson\Alfie-Mawson,eng ENG,DF,Swansea City,22,27,4,0,1,0
335,Dieumerci Mbokani\Dieumerci-Mbokani,cd COD,FW,Hull City,30,12,0,1,0,0
336,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,28,29,5,3,5,0
337,Gareth McAuley\Gareth-McAuley,nir NIR,DF,West Brom,36,36,6,1,5,0
338,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Swansea City,20,5,0,0,0,0
339,James McCarthy\James-McCarthy,ie IRL,MF,Everton,25,12,1,1,2,0
340,James McClean\James-McClean,ie IRL,MFFW,West Brom,27,34,1,2,9,0
341,Paddy McNair\Paddy-McNair,nir NIR,MF,Sunderland,21,9,0,0,0,0
342,Sam McQueen\Sam-McQueen,eng ENG,DF,Southampton,21,13,0,0,0,0
343,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,19,2,0,0,1,0
344,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,26,34,1,0,5,0
345,Nampalys Mendy\Nampalys-Mendy,fr FRA,MF,Leicester City,24,4,0,0,1,0
346,Per Mertesacker\Per-Mertesacker,de GER,DF,Arsenal,31,1,0,0,0,0
347,David Meyler\David-Meyler,ie IRL,MFDF,Hull City,27,20,1,1,2,0
348,Simon Mignolet\Simon-Mignolet,be BEL,GK,Liverpool,28,28,0,0,0,0
349,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,25,14,2,1,4,0
350,James Milner\James-Milner,eng ENG,DF,Liverpool,30,36,7,3,5,0
351,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Bournemouth,23,7,0,0,0,0
352,Kevin Mirallas\Kevin-Mirallas,be BEL,FWMF,Everton,28,35,4,7,2,0
353,Demetri Mitchell\Demetri-Mitchell,eng ENG,DF,Manchester Utd,19,1,0,0,0,0
354,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FWMF,Manchester Utd,27,24,4,1,1,0
355,Nacho Monreal\Nacho-Monreal,es ESP,DF,Arsenal,30,36,0,2,5,0
356,Jefferson Montero\Jefferson-Montero,ec ECU,MFFW,Swansea City,26,13,0,1,0,0
357,Alberto Moreno\Alberto-Moreno,es ESP,DF,Liverpool,24,12,0,0,1,0
358,Wes Morgan\Wes-Morgan,jm JAM,DF,Leicester City,32,27,1,0,3,0
359,James Morrison\James-Morrison,sco SCO,MF,West Brom,30,31,5,2,3,0
360,Victor Moses\Victor-Moses,ng NGA,MF,Chelsea,25,34,3,2,4,0
361,Lys Mousset\Lys-Mousset,fr FRA,FW,Bournemouth,20,11,0,0,0,0
362,Marc Muniesa\Marc-Muniesa,es ESP,DF,Stoke City,24,10,1,0,2,0
363,Ahmed Musa\Ahmed-Musa,ng NGA,MFFW,Leicester City,23,21,2,1,1,0
364,Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,Arsenal,24,26,2,2,11,0
365,Jordon Mutch\Jordon-Mutch,eng ENG,MF,Crystal Palace,24,4,0,0,0,0
366,Alfred N'Diaye\Alfred-NDiaye,sn SEN,MF,Hull City,26,15,1,0,7,0
367,Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,fr FRA,MF,Tottenham,21,8,0,0,0,0
368,Luciano Narsingh\Luciano-Narsingh,nl NED,FW,Swansea City,25,13,0,2,0,0
369,Samir Nasri\Samir-Nasri,fr FRA,FWMF,Manchester City,29,1,0,0,0,0
370,Kyle Naughton\Kyle-Naughton,eng ENG,DF,Swansea City,27,31,1,0,5,0
371,Jesús Navas\Jesus-Navas,es ESP,MFDF,Manchester City,30,24,0,1,2,0
372,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,19,17,2,1,0,0
373,Álvaro Negredo\Alvaro-Negredo,es ESP,FW,Middlesbrough,30,36,9,5,5,0
374,Julien Ngoy\Julien-Ngoy,be BEL,FW,Stoke City,18,5,0,0,0,0
375,M'Baye Niang\MBaye-Niang,sn SEN,MFFW,Watford,21,16,2,2,2,0
376,Oumar Niasse\Oumar-Niasse,sn SEN,FW,Hull City,26,17,4,1,3,1
377,Mark Noble\Mark-Noble,eng ENG,MF,West Ham,29,30,3,0,10,0
378,Nolito\Nolito,es ESP,MFFW,Manchester City,29,19,4,2,3,1
379,Kristoffer Nordfeldt\Kristoffer-Nordfeldt,se SWE,GK,Swansea City,27,1,0,0,0,0
380,Håvard Nordtveit\Havard-Nordtveit,no NOR,DFMF,West Ham,26,16,0,1,2,0
381,Emilio Nsue\Emilio-Nsue,gq EQG,DFMF,Middlesbrough,26,4,0,0,0,0
382,David Nugent\David-Nugent,eng ENG,FW,Middlesbrough,31,4,0,0,0,0
383,Allan Nyom\Allan-Nyom,cm CMR,DF,West Brom,28,32,0,1,8,0
384,Aiden O'Neill\Aiden-ONeill,au AUS,MF,Burnley,18,3,0,0,0,0
385,John O'Shea\John-OShea,ie IRL,DF,Sunderland,35,28,0,1,5,0
386,Pedro Obiang\Pedro-Obiang,gq EQG,MF,West Ham,24,22,1,1,7,0
387,Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,28,20,0,0,2,0
388,Stefano Okaka\Stefano-Okaka,it ITA,FW,Watford,26,19,4,1,5,0
389,Shinji Okazaki\Shinji-Okazaki,jp JPN,FWMF,Leicester City,30,30,3,1,1,0
390,Jonas Olsson\Jonas-Olsson,se SWE,DF,West Brom,33,7,0,0,3,0
391,Martin Olsson\Martin-Olsson,se SWE,DF,Swansea City,28,15,2,0,2,0
392,Josh Onomah\Josh-Onomah,eng ENG,FWMF,Tottenham,19,5,0,0,0,0
393,Divock Origi\Divock-Origi,be BEL,FW,Liverpool,21,34,7,3,0,0
394,Oscar\Oscar,br BRA,MF,Chelsea,24,9,0,1,1,0
395,David Ospina\David-Ospina,co COL,GK,Arsenal,27,2,0,0,0,0
396,Nicolás Otamendi\Nicolas-Otamendi,ar ARG,DF,Manchester City,28,30,1,0,9,0
397,Bryan Oviedo\Bryan-Oviedo,cr CRC,DFMF,Sunderland,26,10,0,0,1,0
398,Bryan Oviedo\Bryan-Oviedo,cr CRC,DF,Everton,26,6,0,0,3,0
399,Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,eng ENG,MF,Arsenal,22,29,2,7,1,0
400,Mesut Özil\Mesut-Ozil,de GER,MF,Arsenal,27,33,8,10,2,0
401,Costel Pantilimon\Costel-Pantilimon,ro ROU,GK,Watford,29,2,0,0,0,0
402,Gabriel Paulista\Gabriel-Paulista,br BRA,DF,Arsenal,25,19,0,0,6,0
403,Dimitri Payet\Dimitri-Payet,fr FRA,MFFW,West Ham,29,18,2,6,2,0
404,Pedro\Pedro,es ESP,FWMF,Chelsea,29,35,9,9,6,0
405,Matthew Pennington\Matthew-Pennington,eng ENG,DF,Everton,21,3,1,0,0,0
406,Dion Pereira\Dion-Pereira,eng ENG,MF,Watford,17,2,0,0,0,0
407,Roberto Pereyra\Roberto-Pereyra,ar ARG,MFFW,Watford,25,13,2,2,2,1
408,Lucas Pérez\Lucas-Perez,es ESP,MFFW,Arsenal,27,11,1,0,0,0
409,Matt Phillips\Matt-Phillips,sco SCO,MF,West Brom,25,27,4,8,2,0
410,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Sunderland,22,29,0,0,0,0
411,Jérémy Pied\Jeremy-Pied,fr FRA,DF,Southampton,27,4,0,0,0,0
412,Steven Pienaar\Steven-Pienaar,za RSA,MFFW,Sunderland,34,15,0,0,6,2
413,Erik Pieters\Erik-Pieters,nl NED,DFMF,Stoke City,27,36,0,1,5,0
414,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,23,30,5,4,7,0
415,Sebastian Prödl\Sebastian-Prodl,at AUT,DF,Watford,29,33,1,1,11,2
416,Marc Pugh\Marc-Pugh,eng ENG,MF,Bournemouth,29,21,2,2,1,0
417,Jason Puncheon\Jason-Puncheon,eng ENG,MF,Crystal Palace,30,36,0,5,9,0
418,Gastón Ramírez\Gaston-Ramirez,uy URU,MFFW,Middlesbrough,25,24,2,3,9,2
419,Aaron Ramsey\Aaron-Ramsey,wal WAL,MF,Arsenal,25,23,1,4,3,0
420,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,29,22,0,0,1,0
421,Àngel Rangel\Angel-Rangel,es ESP,DF,Swansea City,33,18,1,0,1,0
422,Andrea Ranocchia\Andrea-Ranocchia,it ITA,DF,Hull City,28,16,2,2,2,0
423,Marcus Rashford\Marcus-Rashford,eng ENG,FWMF,Manchester Utd,18,32,5,1,3,0
424,Nathan Redmond\Nathan-Redmond,eng ENG,FWMF,Southampton,22,37,7,1,2,1
425,Harrison Reed\Harrison-Reed,eng ENG,MF,Southampton,21,3,0,0,0,0
426,Winston Reid\Winston-Reid,nz NZL,DF,West Ham,28,30,2,1,9,2
427,Loïc Rémy\Loic-Remy,fr FRA,FW,Crystal Palace,29,5,0,0,0,0
428,Jordan Rhodes\Jordan-Rhodes,sco SCO,FW,Middlesbrough,26,6,0,0,0,0
429,Declan Rice\Declan-Rice,eng ENG,DFMF,West Ham,17,1,0,0,0,0
430,Andrew Robertson\Andrew-Robertson,sco SCO,DFMF,Hull City,22,33,1,2,5,0
431,Paul Robinson\Paul-Robinson,eng ENG,GK,Burnley,36,3,0,0,0,0
432,Joel Robles\Joel-Robles,es ESP,GK,Everton,26,20,0,0,2,0
433,Hal Robson-Kanu\Hal-Robson-Kanu,wal WAL,FW,West Brom,27,29,3,2,3,0
434,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Southampton,27,24,5,2,0,0
435,Jack Rodwell\Jack-Rodwell,eng ENG,MF,Sunderland,25,20,0,1,4,0
436,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,26,21,1,0,5,0
437,Sergio Romero\Sergio-Romero,ar ARG,GK,Manchester Utd,29,2,0,0,0,0
438,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,24,35,1,0,11,0
439,Salomón Rondón\Salomon-Rondon,ve VEN,FW,West Brom,26,38,8,2,2,0
440,Marten de Roon\Marten-de-Roon,nl NED,MF,Middlesbrough,25,33,4,0,8,0
441,Wayne Rooney\Wayne-Rooney,eng ENG,MFFW,Manchester Utd,30,25,5,5,8,0
442,Danny Rose\Danny-Rose,eng ENG,DFMF,Tottenham,26,18,2,2,8,0
443,Wayne Routledge\Wayne-Routledge,eng ENG,FWMF,Swansea City,31,27,3,1,1,0
444,Bacary Sagna\Bacary-Sagna,fr FRA,DF,Manchester City,33,17,0,1,2,0
445,Diafra Sakho\Diafra-Sakho,sn SEN,FW,West Ham,26,4,1,0,0,0
446,Mamadou Sakho\Mamadou-Sakho,fr FRA,DF,Crystal Palace,26,8,0,0,0,0
447,Bakary Sako\Bakary-Sako,ml MLI,MF,Crystal Palace,28,7,0,0,0,0
448,Alexis Sánchez\Alexis-Sanchez,cl CHI,FWMF,Arsenal,27,38,24,10,6,0
449,Leroy Sané\Leroy-Sane,de GER,MFFW,Manchester City,20,26,5,2,4,0
450,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,MF,Leicester City,23,4,0,0,0,0
451,Jeffrey Schlupp\Jeffrey-Schlupp,gh GHA,DF,Crystal Palace,23,15,0,0,0,0
452,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,29,30,0,0,1,0
453,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Manchester Utd,26,3,0,0,0,0
454,Morgan Schneiderlin\Morgan-Schneiderlin,fr FRA,MF,Everton,26,14,1,0,2,0
455,Xherdan Shaqiri\Xherdan-Shaqiri,ch SUI,MF,Stoke City,24,21,4,2,2,0
456,Luke Shaw\Luke-Shaw,eng ENG,DF,Manchester Utd,21,11,0,1,1,0
457,Ryan Shawcross\Ryan-Shawcross,eng ENG,DF,Stoke City,28,35,1,1,6,0
458,Gylfi Sigurðsson\Gylfi-Sigurdsson,is ISL,FWMF,Swansea City,26,38,9,13,2,0
459,David Silva\David-Silva,es ESP,MF,Manchester City,30,34,4,7,6,0
460,Danny Simpson\Danny-Simpson,eng ENG,DF,Leicester City,29,35,0,1,12,0
461,Josh Sims\Josh-Sims,eng ENG,FW,Southampton,19,7,0,1,0,0
462,Jerome Sinclair\Jerome-Sinclair,eng ENG,FW,Watford,19,5,0,0,0,0
463,Moussa Sissoko\Moussa-Sissoko,fr FRA,MFFW,Tottenham,26,25,0,2,3,0
464,Islam Slimani\Islam-Slimani,dz ALG,FW,Leicester City,28,23,7,4,1,0
465,Chris Smalling\Chris-Smalling,eng ENG,DF,Manchester Utd,26,18,1,0,0,0
466,Adam Smith\Adam-Smith,eng ENG,DFMF,Bournemouth,25,36,1,5,6,0
467,Brad Smith\Brad-Smith,au AUS,DFMF,Bournemouth,22,5,0,0,1,0
468,Robert Snodgrass\Robert-Snodgrass,sco SCO,MFFW,West Ham,28,15,0,2,0,0
469,Robert Snodgrass\Robert-Snodgrass,sco SCO,FWMF,Hull City,28,20,7,2,2,0
470,Cédric Soares\Cedric-Soares,pt POR,DF,Southampton,24,30,0,3,7,0
471,Ramadan Sobhi\Ramadan-Sobhi,eg EGY,MF,Stoke City,19,17,0,1,2,0
472,Pape Souaré\Pape-Souare,sn SEN,DF,Crystal Palace,26,3,0,0,0,0
473,Junior Stanislas\Junior-Stanislas,eng ENG,MF,Bournemouth,26,21,7,5,1,0
474,Maarten Stekelenburg\Maarten-Stekelenburg,nl NED,GK,Everton,33,19,0,0,2,0
475,Jack Stephens\Jack-Stephens,eng ENG,DF,Southampton,22,17,0,0,1,0
476,Raheem Sterling\Raheem-Sterling,eng ENG,MFFW,Manchester City,21,33,7,8,7,0
477,Kevin Stewart\Kevin-Stewart,eng ENG,DFMF,Liverpool,22,4,0,0,0,0
478,John Stones\John-Stones,eng ENG,DF,Manchester City,22,27,0,0,1,0
479,Cristhian Stuani\Cristhian-Stuani,uy URU,FWMF,Middlesbrough,29,23,4,0,4,0
480,Daniel Sturridge\Daniel-Sturridge,eng ENG,FW,Liverpool,26,20,3,1,1,0
481,Isaac Success\Isaac-Success,ng NGA,MF,Watford,20,19,1,1,2,0
482,Ki Sung-yueng\Ki-Sung-yueng,kr KOR,MF,Swansea City,27,23,0,1,3,0
483,Andrew Surman\Andrew-Surman,eng ENG,MF,Bournemouth,29,22,0,1,2,2
484,Dušan Tadić\Dusan-Tadic,rs SRB,FWMF,Southampton,27,33,3,5,4,0
485,Matt Targett\Matt-Targett,eng ENG,DF,Southampton,20,5,0,0,0,0
486,James Tarkowski\James-Tarkowski,eng ENG,DF,Burnley,23,19,0,0,1,0
487,Neil Taylor\Neil-Taylor,wal WAL,DF,Swansea City,27,11,0,0,1,0
488,John Terry\John-Terry,eng ENG,DF,Chelsea,35,9,1,0,1,0
489,James Tomkins\James-Tomkins,eng ENG,DF,Crystal Palace,27,24,3,0,4,0
490,Gökhan Töre\Gokhan-Tore,tr TUR,MFFW,West Ham,24,5,0,1,0,0
491,Yaya Touré\Yaya-Toure,ci CIV,MF,Manchester City,33,25,5,0,4,0
492,Andros Townsend\Andros-Townsend,eng ENG,MF,Crystal Palace,25,36,3,4,4,0
493,Adama Traoré\Adama-Traore,es ESP,MFFW,Middlesbrough,20,27,0,1,1,0
494,Kieran Trippier\Kieran-Trippier,eng ENG,DFMF,Tottenham,25,12,0,5,1,0
495,Axel Tuanzebe\Axel-Tuanzebe,eng ENG,MFDF,Manchester Utd,18,4,0,0,0,0
496,Josh Tymon\Josh-Tymon,eng ENG,MFDF,Hull City,17,5,0,0,1,0
497,Leonardo Ulloa\Leonardo-Ulloa,ar ARG,FW,Leicester City,30,16,1,0,0,0
498,Víctor Valdés\Victor-Valdes,es ESP,GK,Middlesbrough,34,28,0,0,1,0
499,Antonio Valencia\Antonio-Valencia,ec ECU,DF,Manchester Utd,30,28,1,3,5,0
500,Enner Valencia\Enner-Valencia,ec ECU,FW,West Ham,26,3,0,0,0,0
501,Enner Valencia\Enner-Valencia,ec ECU,FWMF,Everton,26,21,3,1,1,0
502,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,29,35,13,4,2,1
503,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,29,33,0,0,5,0
504,Sam Vokes\Sam-Vokes,wal WAL,FW,Burnley,26,37,10,3,0,0
505,Michel Vorm\Michel-Vorm,nl NED,GK,Tottenham,32,5,0,0,0,0
506,Matěj Vydra\Matej-Vydra,cz CZE,FWMF,Watford,24,1,0,0,0,0
507,Theo Walcott\Theo-Walcott,eng ENG,MF,Arsenal,27,28,10,2,1,0
508,Kyle Walker\Kyle-Walker,eng ENG,DFMF,Tottenham,26,33,0,5,8,0
509,Jonathan Walters\Jonathan-Walters,ie IRL,FWMF,Stoke City,32,23,4,2,1,0
510,Victor Wanyama\Victor-Wanyama,ke KEN,MF,Tottenham,25,36,4,1,10,0
511,Joel Ward\Joel-Ward,eng ENG,DF,Crystal Palace,26,38,0,1,7,0
512,Stephen Ward\Stephen-Ward,ie IRL,DF,Burnley,30,37,1,1,5,0
513,James Ward-Prowse\James-Ward-Prowse,eng ENG,MF,Southampton,21,30,4,4,4,0
514,Marcin Wasilewski\Marcin-Wasilewski,pl POL,DF,Leicester City,36,1,0,0,0,0
515,Duncan Watmore\Duncan-Watmore,eng ENG,MFFW,Sunderland,22,14,0,2,1,0
516,Ben Watson\Ben-Watson,eng ENG,MF,Watford,31,4,0,0,0,1
517,Danny Welbeck\Danny-Welbeck,eng ENG,FWMF,Arsenal,25,16,2,2,0,0
518,Ashley Westwood\Ashley-Westwood,eng ENG,MF,Burnley,26,9,0,0,3,0
519,Glenn Whelan\Glenn-Whelan,ie IRL,MF,Stoke City,32,30,0,1,5,0
520,Connor Wickham\Connor-Wickham,eng ENG,FWMF,Crystal Palace,23,8,2,0,1,0
521,Georginio Wijnaldum\Georginio-Wijnaldum,nl NED,MF,Liverpool,25,36,6,8,2,0
522,Ashley Williams\Ashley-Williams,wal WAL,DF,Everton,31,36,1,2,7,1
523,Willian\Willian,br BRA,FWMF,Chelsea,27,34,8,2,3,0
524,Jack Wilshere\Jack-Wilshere,eng ENG,MF,Bournemouth,24,27,0,2,3,0
525,Jack Wilshere\Jack-Wilshere,eng ENG,MF,Arsenal,24,2,0,0,1,0
526,Callum Wilson\Callum-Wilson,eng ENG,FW,Bournemouth,24,20,6,0,0,0
527,Marc Wilson\Marc-Wilson,ie IRL,DF,West Brom,28,4,0,0,3,0
528,Kevin Wimmer\Kevin-Wimmer,at AUT,DF,Tottenham,23,5,0,0,3,0
529,Harry Winks\Harry-Winks,eng ENG,MF,Tottenham,20,21,1,1,1,0
530,Philipp Wollscheid\Philipp-Wollscheid,de GER,DF,Stoke City,27,2,0,0,1,0
531,Ben Woodburn\Ben-Woodburn,wal WAL,FW,Liverpool,16,5,0,0,0,0
532,Matt Worthington\Matt-Worthington,eng ENG,MF,Bournemouth,18,1,0,0,0,0
533,Granit Xhaka\Granit-Xhaka,ch SUI,MF,Arsenal,23,32,2,2,5,2
534,Claudio Yacob\Claudio-Yacob,ar ARG,MF,West Brom,29,33,0,0,9,0
535,Maya Yoshida\Maya-Yoshida,jp JPN,DF,Southampton,27,23,1,0,2,0
536,Ashley Young\Ashley-Young,eng ENG,DFMF,Manchester Utd,31,12,0,1,2,0
537,Pablo Zabaleta\Pablo-Zabaleta,ar ARG,DFMF,Manchester City,31,19,1,1,2,0
538,Wilfried Zaha\Wilfried-Zaha,ci CIV,MFFW,Crystal Palace,23,35,7,8,8,0
539,Mauro Zárate\Mauro-Zarate,ar ARG,FWMF,Watford,29,3,0,0,0,0
540,Simone Zaza\Simone-Zaza,it ITA,FW,West Ham,25,8,0,0,2,0
541,Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,Leicester City,27,9,0,0,0,0
542,Kurt Zouma\Kurt-Zouma,fr FRA,DF,Chelsea,21,9,0,0,0,0
543,Juan Zúñiga\Juan-Zuniga,co COL,DFMF,Watford,30,21,1,0,1,0